carrier_name,vehicle_segment,g/tm CO2,ef_kg_co2e_per_tkm
ACE Heavy Haul LLC,For-hire,92.6,0.0634258144
"ACE Logistics, Inc.: MC411479",For-Hire,164.5,0.11267328800000001
ACES LOGISTICS INC,For-hire,84.724,0.05803119545600001
"ACI Motor Freight, Inc.",For-Hire,110.55,0.07572055920000001
ACME LOGISTICS INC.,Private,72.91,0.04993926704
AD LUCKY TRANS LTD,For-hire,93.45,0.06400801680000001
"ADM Logistics, Inc.",For-Hire,106.8155,0.073162635832
"ADM Trucking, Inc.",Private,67.91,0.04651454704
ADMV LOGISTICS INC,For-hire,82.1,0.0562339024
ADP Express LLC: main,For-Hire,90.0,0.061644960000000006
ADUSA Transportation LLC,For-Hire,91.155,0.06243607032
AFF Trans LLC,Dedicated,72.91,0.04993926704
"AG Energy Transport, LLC",For-hire,64.15,0.04393915760000001
"AG Logistics, LLC",For-hire,120.0,0.08219328000000001
AGI Transport Inc.,For-Hire,78.929,0.054061944976000004
AGK Logistics Inc,For-Hire,102.4,0.07013826560000001
AGM TRANSPORT INC: Truckload Division,For-Hire,84.724,0.05803119545600001
AGT Global Logistics,For-Hire,164.5,0.11267328800000001
"AGX Freight Carriers, LLC",For-Hire,78.929,0.054061944976000004
AGX Freight Intermodal LLC,For-Hire,83.5,0.057192824
AGX Freight Logistics LLC,For-Hire,140.57,0.09628257808
AI Logistics Group LLC,For-Hire,116.71600000000001,0.07994392390400001
"AI Transport, Inc.",For-hire,102.4,0.07013826560000001
AIRROAD XPRESS INC,For-hire,93.45,0.06400801680000001
AIS,For-Hire,90.0,0.061644960000000006
"AIT Truckload Solutions, Inc.",For-Hire,113.511,0.077748678384
"AIT Worldwide Logistics, Inc.: 30120212",For-Hire,164.5,0.11267328800000001
AJ & J Deliveries LLC,Dedicated,282.5,0.19349668
AJ GILL TRANSPORT LTD,For-hire,92.6,0.0634258144
"AJC Logistics, LLC: AJC Freight Solutions",For-Hire,113.511,0.077748678384
AJM Logistics Inc,For-Hire,76.25,0.052226980000000006
ALB Express Inc.,For-hire,102.4,0.07013826560000001
"ALG Worldwide Logistics, LLC: ALG Worldwide - ALG Direct Division",For-Hire,164.5,0.11267328800000001
ALIEN TRANSPORT LLC,For-hire,95.575,0.0654635228
ALL CHEMICAL TRANSPORT,For-Hire,60.42,0.04138431648
ALLMINE GROUP LLC,For-hire,93.45,0.06400801680000001
ALLPRO LOGISTICS LLC,For-Hire,95.575,0.0654635228
ALLSTATE FREIGHT SYSTEMS INC: 001,For-Hire,82.1,0.0562339024
ALPHA DRIVERS TRANSPORTATION LLC,For-hire,102.4,0.07013826560000001
ALPHA GROUP CORP,For-Hire,67.91,0.04651454704
ALTA ROSE FREIGHTLINES LTD.,Dedicated,60.42,0.04138431648
ALTL Inc.,For-Hire,78.929,0.054061944976000004
AM Trans Expedite,For-hire,84.724,0.05803119545600001
"AMC Express, Inc.",For-Hire,84.724,0.05803119545600001
AMERICAN WEST WORLDWIDE EXPRESS,For-Hire,93.0,0.063699792
AMLOAD LLC,For-hire,105.21,0.07206295824
ANR Logistics,For-Hire,103.45,0.07085745680000001
AP Express LLC: Expediated Freight,For-Hire,91.155,0.06243607032
APL Cargo Inc.,For-Hire,76.25,0.052226980000000006
APL Logistics: HTS,For-Hire,101.06,0.06922044064
APL Logistics: Intermodal,For-Hire,81.8,0.0560284192
APL Logistics: MTS,For-Hire,106.8155,0.073162635832
APPS Transport Group: 0001,For-Hire,105.21,0.07206295824
AR LOGISTICS GROUP INC,Dedicated,72.91,0.04993926704
ARAB CARTAGE & EXPRESS,For-Hire,102.4,0.07013826560000001
ARAGO TRUCKING LLC,For-hire,93.45,0.06400801680000001
"ARCO LOGISTICS, INC.",Dedicated,102.4,0.07013826560000001
ARD Express Inc.,For-Hire,67.91,0.04651454704
ARI Logistics LLC DBA Action Enterprise Logistics,Private,118.39,0.08109052016000001
ARKLE MOTOR FREIGHT INC,For-Hire,72.91,0.04993926704
"ARL Transport, LLC",For-Hire,83.5,0.057192824
ARLO G LOTT TRUCKING INC: Bulk (80k long haul,For-Hire,72.05,0.0493502152
ARLO G LOTT TRUCKING INC: Heavy Bulk (106k-129k),For-Hire,57.6,0.0394527744
ARLO G LOTT TRUCKING INC: Heavy flatbed (106k -129k),For-Hire,65.0,0.04452136
ARLO G LOTT TRUCKING INC: Sidedump (129k NV),Dedicated,51.0,0.034932144000000005
ARLO G LOTT TRUCKING INC: flatbed (80k Long Haul),For-Hire,84.25,0.057706532000000005
ARMSTRONG TRANSPORTATION & TRAILERS LLC,For-Hire,78.929,0.054061944976000004
ARPCO Transport Services: Logistics Brokerage,For-Hire,116.71600000000001,0.07994392390400001
ASSET BASED INTERMODAL INC,For-Hire,90.9,0.06226140960000001
AST Express,For-Hire,67.91,0.04651454704
AT & R Transport,For-hire,72.91,0.04993926704
ATL Heavy Haul Inc.,For-hire,60.42,0.04138431648
ATL TRANSPORT USA LLC: ATL,For-Hire,91.155,0.06243607032
"ATP Logistics, Inc.",For-hire,82.1,0.0562339024
"ATS 1, Inc.",For-hire,102.4,0.07013826560000001
"ATS Logistics Services, Inc.: DBA Sureway Transportation Company",For-Hire,164.5,0.11267328800000001
"ATS Logistics, LLC",For-Hire,97.0,0.066439568
"ATS Specialized, Inc",For-Hire,71.0,0.048631024
"ATS, INC.",For-Hire,78.929,0.054061944976000004
"ATW Transport, LLC",Private,106.8155,0.073162635832
"AV Logistics, LLC",For-Hire,101.06,0.06922044064
AVI Logistics LLC: AVIJ,Private,110.12049999999999,0.075426375752
AXT02 LLC,For-hire,105.21,0.07206295824
AYR Motor Express Inc,For-Hire,78.929,0.054061944976000004
AZT Autos LLC,For-hire,91.155,0.06243607032
"Abdon Transportation Systems, Inc.",For-Hire,101.06,0.06922044064
Abilene Motor Express,For-Hire,60.42,0.04138431648
Absolute Group Inc,For-Hire,102.4,0.07013826560000001
Acam transport,For-Hire,76.25,0.052226980000000006
Accela Worldwide Logistics,For-Hire,90.9,0.06226140960000001
"Accelerated Courier, Inc.",For-Hire,67.91,0.04651454704
Accelerated Services LLC,For-Hire,113.5,0.07774114400000001
Accio Ads LLC dba Veterans Logistics Group,For-Hire,90.9,0.06226140960000001
